,0
0,15275.926742480337
1,21730.025633338882
2,16344.68358333603
3,23345.872928545297
4,21353.92437062067
5,20755.41960273574
6,21229.320768128688
7,17919.7021113329
8,18132.11433021793
9,22969.903376269518
10,19083.0705731595
11,24522.483903695775
12,19249.33572667595
13,20598.31174471409
14,23622.684693042607
15,16123.012662250523
16,17031.009019079687
17,21850.12986789527
18,20792.037561535963
19,22806.682940264567
20,23204.702750554665
21,21832.46328791733
22,22720.25648847726
23,17981.322696006962
24,22561.02449611205
25,20705.479684240086
26,22302.079981674473
27,20123.61250283163
28,16982.720088082642
29,19588.28443662407
30,22828.064957024184
31,20199.86509624053
32,20825.817531103206
33,18584.600761301
34,22444.369931647438
35,22115.200259724792
36,24200.02806776357
37,21612.787067091165
38,23881.77313429971
39,17423.0988526237
40,16984.596706628952
41,19435.125695812123
42,16494.125063414096
43,25223.945096259304
44,20011.447356389326
45,24358.90008026231
46,23428.282321660332
47,20046.189998909715
48,25413.261306086293
49,16584.783287720365
50,16612.554550237714
51,22694.493600598875
52,21429.20368518949
53,17364.458778275566
54,20554.424653085633
55,17852.989838722206
56,24262.506944592722
57,18944.300922320956
58,24504.822532444465
59,19853.606907052264
60,21860.742232012315
61,19071.32875970035
62,22937.084717266574
63,19671.04283732265
64,17908.082526481165
65,19006.84950515495
66,18904.90575063103
67,22696.624149720235
68,19474.33826541958
69,17569.649664947086
70,20674.94931557658
71,18825.548956150604
72,20889.2903331939
73,21429.51424940807
74,16625.124982781817
75,22240.19319030275
76,22338.571035823512
77,17666.02877766382
78,22699.424435313158
79,23363.946738918577
80,22800.09040766465
81,21856.211901140257
82,21104.466389993224
83,20046.466517894172
84,21937.2527730872
85,23044.472071174543
86,17383.822879935466
87,21372.66535718047
88,20966.49445788966
89,18526.808302314323
90,20770.572167005284
91,23953.59986910913
92,20905.338455366455
93,23755.72166696627
94,17981.538298464853
95,22169.249478028043
96,21001.22657603993
97,19048.169126217894
98,18635.820958946573
99,21941.14924475863
100,23774.202751207984
101,19220.647105291348
102,21205.70983852731
103,24837.763373974325
104,22622.44598679542
105,22582.07371066291
106,18757.716977353946
107,18734.49745331365
108,16782.03288744751
109,20861.165153908798
110,20885.955656040813
111,19571.355186236648
112,17189.948587709907
113,23349.43383334992
114,19568.424017333997
115,19966.465324743007
116,23033.616680523744
117,22740.404384118327
118,18095.35055587252
119,18383.92310966635
120,20726.351990908595
121,20232.34634376281
122,18428.400385521443
123,18039.994827122286
124,20576.091081517905
125,18567.706501461198
126,16798.24867955363
127,20297.51963636564
128,21040.3836601223
129,22774.111926178935
130,22197.889558565865
131,18042.707518958778
132,19743.287104267947
133,25187.617860131788
134,15143.026259206701
135,19468.156413923123
136,20148.52584692793
137,21976.736389419835
138,22277.398870204284
139,19169.148673272826
140,22247.8597431027
141,20615.85228531919
142,22769.816903178278
143,18616.430584490157
144,20059.667667501213
145,17931.21175969827
146,20654.174989698542
147,16761.273734812137
148,17261.877566185816
