所在区域,平均价格(元/平方),房屋类型,所在楼层,建筑面积,建筑类型,房屋朝向,装修情况,梯户比例,配备电梯,挂牌时间,上次交易时间,产权所属,抵押信息
1,20441,3室2厅1厨2卫,中楼层 (共18层),126.22,3,南 北,1,两梯三户,1,2019/4/10,2017/10/13,1,1
2,24422,1室1厅1厨1卫,中楼层 (共33层),47.5,3,东,1,两梯八户,1,2019/4/9,2014/10/27,0.5,0.5
3,22780,2室2厅1厨1卫,低楼层 (共34层),73.75,2,西,1,三梯六户,1,2018/12/1,2018/11/23,0.5,0.5
4,22283,3室2厅1厨2卫,高楼层 (共17层),114.44,3,南 北,1,一梯四户,0,2018/5/21,2018/8/10,1,1
5,10770,2室2厅1厨1卫,高楼层 (共34层),83.57,2,南,0,两梯六户,1,2018/12/4,暂无数据,0.5,0.5
5,11023,3室2厅1厨1卫,高楼层 (共33层),95.26,2,南 北,0,两梯四户,1,2019/4/17,暂无数据,0.5,1
3,21158,2室2厅1厨1卫,中楼层 (共18层),78.93,2,南,1,两梯三户,1,2019/4/12,2019/6/26,0.5,0.5
6,14026,2室2厅1厨1卫,高楼层 (共27层),77,2,南,0.5,两梯六户,1,2018/9/15,暂无数据,0.5,0.5
1,18611,2室2厅1厨1卫,高楼层 (共33层),88.07,1,南,1,两梯四户,1,2019/3/23,2014/5/7,1,1
2,27924,3室2厅1厨1卫,高楼层 (共47层),143.25,3,东南,1,四梯六户,1,2019/3/16,2018/1/28,0.5,1
3,21967,3室2厅1厨2卫,中楼层 (共33层),132.02,1,南 北,0.5,两梯五户,1,2019/4/2,2015/5/27,0.5,0.5
1,21009,3室2厅1厨1卫,低楼层 (共24层),93.77,1,南,1,两梯四户,1,2019/3/22,2017/1/17,0.5,0.5
1,29418,2室1厅1厨1卫,中楼层 (共45层),94.84,2,南,0,两梯四户,1,2019/1/16,2016/11/23,0.5,0.5
1,18151,2室2厅1厨1卫,高楼层 (共33层),88.15,1,南,0,两梯四户,1,2019/3/18,2016/9/6,0.5,0.5
3,26116,3室2厅1厨1卫,中楼层 (共33层),106.45,2,南,0,两梯四户,1,2018/10/7,暂无数据,1,0.5
3,23101,2室1厅1厨1卫,高楼层 (共26层),59.74,2,南 北,1,两梯四户,1,2019/4/5,2014/12/16,1,0.5
2,15583,2室2厅1厨1卫,中楼层 (共6层),84.07,2,南 北,0.5,一梯两户,0.5,2019/3/8,暂无数据,0.5,1
